"Seller Group","Supplier","Date","Reference","Customer code","Customer name","Physical_Address1","Physical_Address2","Physical_Address3","Physical_Address4","Deliver1","Deliver2","Deliver3","Deliver4","Telephone","Product code","Product description","Quantity","Value","Rep"
"ALL Other","Squeeze Mee",23/07/2025,"IN-422468","P395","WYLIES CAFE (5%) (7 D)","P. O. Box 5036","Polokwane North","0750","","Plot 37","Dalmada","Polokwane","0699","015 263 6211","SQ001","Squeeze-Mee Chocolate 40x130ml",1,279.13,3
"ALL Other","Squeeze Mee",23/07/2025,"IN-422468","P395","WYLIES CAFE (5%) (7 D)","P. O. Box 5036","Polokwane North","0750","","Plot 37","Dalmada","Polokwane","0699","015 263 6211","SQ002","Squeeze-Mee Strawberry 40x130ml",1,279.13,3
"ALL Other","Squeeze Mee",23/07/2025,"IN-422469","P3760","MORDERN PACKAGING POLOKWANE PTYLTD","P.O. BOX 3322","POLOKWANE","","","72 VERMICULITE STREET","LABORIA","POLOKWANE","","015 293 2812","SQ002","Squeeze-Mee Strawberry 40x130ml",1,279.13,2
"ALL Other","Squeeze Mee",23/07/2025,"IN-422469","P3760","MORDERN PACKAGING POLOKWANE PTYLTD","P.O. BOX 3322","POLOKWANE","","","72 VERMICULITE STREET","LABORIA","POLOKWANE","","015 293 2812","SQ003","Squeeze-Mee Bubblegum 40x130ml",1,279.13,2
"ALL Other","Squeeze Mee",23/07/2025,"IN-422469","P3760","MORDERN PACKAGING POLOKWANE PTYLTD","P.O. BOX 3322","POLOKWANE","","","72 VERMICULITE STREET","LABORIA","POLOKWANE","","015 293 2812","SQ004","Squeeze-Mee Vanilla 40x130ml",1,279.13,2
"ALL Other","Squeeze Mee",23/07/2025,"IN-422469","P3760","MORDERN PACKAGING POLOKWANE PTYLTD","P.O. BOX 3322","POLOKWANE","","","72 VERMICULITE STREET","LABORIA","POLOKWANE","","015 293 2812","SQ011","Squeeze-Mee Tof/Car 40x130ml",1,279.13,2
"ALL Other","Foxi Snax",23/07/2025,"IN-422470","P3760","MORDERN PACKAGING POLOKWANE PTYLTD","P.O. BOX 3322","POLOKWANE","","","72 VERMICULITE STREET","LABORIA","POLOKWANE","","015 293 2812","FN001","Foxi Nax Cheese 50x22g",1,71.13,2
"ALL Other","Foxi Snax",23/07/2025,"IN-422470","P3760","MORDERN PACKAGING POLOKWANE PTYLTD","P.O. BOX 3322","POLOKWANE","","","72 VERMICULITE STREET","LABORIA","POLOKWANE","","015 293 2812","FN005","Foxi Nax Chicken 50x22g",1,71.13,2
"ALL Other","Foxi Snax",23/07/2025,"IN-422470","P3760","MORDERN PACKAGING POLOKWANE PTYLTD","P.O. BOX 3322","POLOKWANE","","","72 VERMICULITE STREET","LABORIA","POLOKWANE","","015 293 2812","FN006","Foxi Nax BBQ 50x22g",1,71.13,2
"ALL Other","National Brands",23/07/2025,"IN-422470","P3760","MORDERN PACKAGING POLOKWANE PTYLTD","P.O. BOX 3322","POLOKWANE","","","72 VERMICULITE STREET","LABORIA","POLOKWANE","","015 293 2812","NB17441","Bkrs Mini Gingernuts 24x40g",2,302,2
"Savemor","Bromor Foods",23/07/2025,"IN-422471","P402","UNIVERSAL STATION ONE (PTY)LTD (3 D EFT)","PLOT14 PALMIETFONTEIN","POLOKWANE","","","PLOT 14 PALMIETFONTEIN","POLOKWANE","","","061 204 8841","BR002","Energade Naartjie 24X500ML",1,239.56,3
"Savemor","Bromor Foods",23/07/2025,"IN-422471","P402","UNIVERSAL STATION ONE (PTY)LTD (3 D EFT)","PLOT14 PALMIETFONTEIN","POLOKWANE","","","PLOT 14 PALMIETFONTEIN","POLOKWANE","","","061 204 8841","BR005","Energade Grape 24X500ML",1,239.56,3
"Savemor","Oshee",23/07/2025,"IN-422471","P402","UNIVERSAL STATION ONE (PTY)LTD (3 D EFT)","PLOT14 PALMIETFONTEIN","POLOKWANE","","","PLOT 14 PALMIETFONTEIN","POLOKWANE","","","061 204 8841","BUN001","Bundaberg Ginger Beer 24x375ml",1,460,3
"Savemor","Energy Drinks",23/07/2025,"IN-422471","P402","UNIVERSAL STATION ONE (PTY)LTD (3 D EFT)","PLOT14 PALMIETFONTEIN","POLOKWANE","","","PLOT 14 PALMIETFONTEIN","POLOKWANE","","","061 204 8841","DRA002","Dragon Energy Drinks 24x500ml",5,1000,3
"Savemor","Energy Drinks",23/07/2025,"IN-422471","P402","UNIVERSAL STATION ONE (PTY)LTD (3 D EFT)","PLOT14 PALMIETFONTEIN","POLOKWANE","","","PLOT 14 PALMIETFONTEIN","POLOKWANE","","","061 204 8841","DRA005","Dragon Energy Drinks  Blue Berry 24x500ml",1,200,3
"Savemor","Mageu",23/07/2025,"IN-422471","P402","UNIVERSAL STATION ONE (PTY)LTD (3 D EFT)","PLOT14 PALMIETFONTEIN","POLOKWANE","","","PLOT 14 PALMIETFONTEIN","POLOKWANE","","","061 204 8841","MA004","Mageu  Mabele  10x500ml",1,103.36,3
"Savemor","Mageu",23/07/2025,"IN-422471","P402","UNIVERSAL STATION ONE (PTY)LTD (3 D EFT)","PLOT14 PALMIETFONTEIN","POLOKWANE","","","PLOT 14 PALMIETFONTEIN","POLOKWANE","","","061 204 8841","MA013","Mageu  Mabele 10x1lt",1,148.23,3
"Savemor","Energy Drinks",23/07/2025,"IN-422471","P402","UNIVERSAL STATION ONE (PTY)LTD (3 D EFT)","PLOT14 PALMIETFONTEIN","POLOKWANE","","","PLOT 14 PALMIETFONTEIN","POLOKWANE","","","061 204 8841","MC312","McNab's Mocha Latte 6x350ml",1,111,3
"Savemor","Energy Drinks",23/07/2025,"IN-422471","P402","UNIVERSAL STATION ONE (PTY)LTD (3 D EFT)","PLOT14 PALMIETFONTEIN","POLOKWANE","","","PLOT 14 PALMIETFONTEIN","POLOKWANE","","","061 204 8841","MC313","McNab's Caramel Latte 6x350ml",1,111,3
"Savemor","National Brands",23/07/2025,"IN-422471","P402","UNIVERSAL STATION ONE (PTY)LTD (3 D EFT)","PLOT14 PALMIETFONTEIN","POLOKWANE","","","PLOT 14 PALMIETFONTEIN","POLOKWANE","","","061 204 8841","NB10955","Bkrs Toppers Van 12x125g",2,229,3
"Savemor","National Brands",23/07/2025,"IN-422471","P402","UNIVERSAL STATION ONE (PTY)LTD (3 D EFT)","PLOT14 PALMIETFONTEIN","POLOKWANE","","","PLOT 14 PALMIETFONTEIN","POLOKWANE","","","061 204 8841","NB11007","Bkrs Eat Sum Mor 12x200g",1,330,3
"Savemor","National Brands",23/07/2025,"IN-422471","P402","UNIVERSAL STATION ONE (PTY)LTD (3 D EFT)","PLOT14 PALMIETFONTEIN","POLOKWANE","","","PLOT 14 PALMIETFONTEIN","POLOKWANE","","","061 204 8841","NB17484","Bkrs Choco O Break 15x125g",2,382,3
"Savemor","The Beverage Co",23/07/2025,"IN-422471","P402","UNIVERSAL STATION ONE (PTY)LTD (3 D EFT)","PLOT14 PALMIETFONTEIN","POLOKWANE","","","PLOT 14 PALMIETFONTEIN","POLOKWANE","","","061 204 8841","P5500109","Super C Can Mixed Berry 6x4x500ml",1,189,3
"Savemor","The Beverage Co",23/07/2025,"IN-422471","P402","UNIVERSAL STATION ONE (PTY)LTD (3 D EFT)","PLOT14 PALMIETFONTEIN","POLOKWANE","","","PLOT 14 PALMIETFONTEIN","POLOKWANE","","","061 204 8841","P660185","Super C Org Sparkling Glucose 6x4x500ml",1,173.91,3
"Savemor","The Beverage Co",23/07/2025,"IN-422471","P402","UNIVERSAL STATION ONE (PTY)LTD (3 D EFT)","PLOT14 PALMIETFONTEIN","POLOKWANE","","","PLOT 14 PALMIETFONTEIN","POLOKWANE","","","061 204 8841","P860001","Pepsi Cola 6x2lt",1,98,3
"Savemor","The Beverage Co",23/07/2025,"IN-422471","P402","UNIVERSAL STATION ONE (PTY)LTD (3 D EFT)","PLOT14 PALMIETFONTEIN","POLOKWANE","","","PLOT 14 PALMIETFONTEIN","POLOKWANE","","","061 204 8841","P860002","Pepsi Max 6x2lt",1,98,3
"Savemor","Aquelle",23/07/2025,"IN-422471","P402","UNIVERSAL STATION ONE (PTY)LTD (3 D EFT)","PLOT14 PALMIETFONTEIN","POLOKWANE","","","PLOT 14 PALMIETFONTEIN","POLOKWANE","","","061 204 8841","QU401","aQuelle Still 6x1.5lt",5,273,3
"Savemor","Aquelle",23/07/2025,"IN-422471","P402","UNIVERSAL STATION ONE (PTY)LTD (3 D EFT)","PLOT14 PALMIETFONTEIN","POLOKWANE","","","PLOT 14 PALMIETFONTEIN","POLOKWANE","","","061 204 8841","QU402","aQuelle Sparkling 6x1.5lt",2,109.20,3
"Savemor","Aquelle",23/07/2025,"IN-422471","P402","UNIVERSAL STATION ONE (PTY)LTD (3 D EFT)","PLOT14 PALMIETFONTEIN","POLOKWANE","","","PLOT 14 PALMIETFONTEIN","POLOKWANE","","","061 204 8841","QU601","aQuelle Litchi 6x500ml",1,42,3
"Savemor","Aquelle",23/07/2025,"IN-422471","P402","UNIVERSAL STATION ONE (PTY)LTD (3 D EFT)","PLOT14 PALMIETFONTEIN","POLOKWANE","","","PLOT 14 PALMIETFONTEIN","POLOKWANE","","","061 204 8841","QU602","aQuelle Naartjie 6x500ml",1,42,3
"Savemor","Aquelle",23/07/2025,"IN-422471","P402","UNIVERSAL STATION ONE (PTY)LTD (3 D EFT)","PLOT14 PALMIETFONTEIN","POLOKWANE","","","PLOT 14 PALMIETFONTEIN","POLOKWANE","","","061 204 8841","QU603","aQuelle Strawberry 6x500ml",1,42,3
"Savemor","Aquelle",23/07/2025,"IN-422471","P402","UNIVERSAL STATION ONE (PTY)LTD (3 D EFT)","PLOT14 PALMIETFONTEIN","POLOKWANE","","","PLOT 14 PALMIETFONTEIN","POLOKWANE","","","061 204 8841","QU604","aQuelle Lemon 6x500ml",1,42,3
"Savemor","Aquelle",23/07/2025,"IN-422471","P402","UNIVERSAL STATION ONE (PTY)LTD (3 D EFT)","PLOT14 PALMIETFONTEIN","POLOKWANE","","","PLOT 14 PALMIETFONTEIN","POLOKWANE","","","061 204 8841","QU605","aQuelle Granadilla 6x500ml",1,42,3
"Savemor","Aquelle",23/07/2025,"IN-422471","P402","UNIVERSAL STATION ONE (PTY)LTD (3 D EFT)","PLOT14 PALMIETFONTEIN","POLOKWANE","","","PLOT 14 PALMIETFONTEIN","POLOKWANE","","","061 204 8841","QU606","aQuelle Pineapple 6x500ml",1,42,3
"Savemor","Aquelle",23/07/2025,"IN-422471","P402","UNIVERSAL STATION ONE (PTY)LTD (3 D EFT)","PLOT14 PALMIETFONTEIN","POLOKWANE","","","PLOT 14 PALMIETFONTEIN","POLOKWANE","","","061 204 8841","QU607","aQuelle Marula 6x500ml",1,42,3
"Savemor","Aquelle",23/07/2025,"IN-422471","P402","UNIVERSAL STATION ONE (PTY)LTD (3 D EFT)","PLOT14 PALMIETFONTEIN","POLOKWANE","","","PLOT 14 PALMIETFONTEIN","POLOKWANE","","","061 204 8841","QU608","aQuelle Watermelon 6x500ml",1,42,3
"Savemor","Aquelle",23/07/2025,"IN-422471","P402","UNIVERSAL STATION ONE (PTY)LTD (3 D EFT)","PLOT14 PALMIETFONTEIN","POLOKWANE","","","PLOT 14 PALMIETFONTEIN","POLOKWANE","","","061 204 8841","QU609","aQuelle Honey Melon 6x500ml",1,42,3
"Savemor","Aquelle",23/07/2025,"IN-422471","P402","UNIVERSAL STATION ONE (PTY)LTD (3 D EFT)","PLOT14 PALMIETFONTEIN","POLOKWANE","","","PLOT 14 PALMIETFONTEIN","POLOKWANE","","","061 204 8841","QU610","aQuelle Apple 6x500ml",1,42,3
"Savemor","Energy Drinks",23/07/2025,"IN-422471","P402","UNIVERSAL STATION ONE (PTY)LTD (3 D EFT)","PLOT14 PALMIETFONTEIN","POLOKWANE","","","PLOT 14 PALMIETFONTEIN","POLOKWANE","","","061 204 8841","SWI001","Switch Original 24x500ml",2,352.17,3
"Savemor","Energy Drinks",23/07/2025,"IN-422471","P402","UNIVERSAL STATION ONE (PTY)LTD (3 D EFT)","PLOT14 PALMIETFONTEIN","POLOKWANE","","","PLOT 14 PALMIETFONTEIN","POLOKWANE","","","061 204 8841","SWI002","Switch Energy Element 24x500ml",2,352.17,3
"Savemor","Energy Drinks",23/07/2025,"IN-422471","P402","UNIVERSAL STATION ONE (PTY)LTD (3 D EFT)","PLOT14 PALMIETFONTEIN","POLOKWANE","","","PLOT 14 PALMIETFONTEIN","POLOKWANE","","","061 204 8841","SWI012","Switch G/Fruit Naartjie VIT C 24x500ml",2,352.17,3
"Savemor","Energy Drinks",23/07/2025,"IN-422471","P402","UNIVERSAL STATION ONE (PTY)LTD (3 D EFT)","PLOT14 PALMIETFONTEIN","POLOKWANE","","","PLOT 14 PALMIETFONTEIN","POLOKWANE","","","061 204 8841","SWI017","Switch Vit C Orange  24x500ml",2,352.18,3
"Savemor","Energy Drinks",23/07/2025,"IN-422471","P402","UNIVERSAL STATION ONE (PTY)LTD (3 D EFT)","PLOT14 PALMIETFONTEIN","POLOKWANE","","","PLOT 14 PALMIETFONTEIN","POLOKWANE","","","061 204 8841","SWI023","Switch Dry Lemon 24x500ml",2,352.18,3
"Savemor","Energy Drinks",23/07/2025,"IN-422471","P402","UNIVERSAL STATION ONE (PTY)LTD (3 D EFT)","PLOT14 PALMIETFONTEIN","POLOKWANE","","","PLOT 14 PALMIETFONTEIN","POLOKWANE","","","061 204 8841","V24BB500","Vita24 Blue Berry 500ml 1x6 pack",1,108.11,3
"Savemor","Energy Drinks",23/07/2025,"IN-422471","P402","UNIVERSAL STATION ONE (PTY)LTD (3 D EFT)","PLOT14 PALMIETFONTEIN","POLOKWANE","","","PLOT 14 PALMIETFONTEIN","POLOKWANE","","","061 204 8841","V24LI500","Vita24 Litchi 500ml 1x6 pack",1,108.11,3
"Savemor","Energy Drinks",23/07/2025,"IN-422471","P402","UNIVERSAL STATION ONE (PTY)LTD (3 D EFT)","PLOT14 PALMIETFONTEIN","POLOKWANE","","","PLOT 14 PALMIETFONTEIN","POLOKWANE","","","061 204 8841","V24PF500","Vita24 Passionfruit 500ml 1x6 pack",1,108.11,3
"Savemor","Energy Drinks",23/07/2025,"IN-422471","P402","UNIVERSAL STATION ONE (PTY)LTD (3 D EFT)","PLOT14 PALMIETFONTEIN","POLOKWANE","","","PLOT 14 PALMIETFONTEIN","POLOKWANE","","","061 204 8841","V24RB500","Vita24 Red Berry 500ml 1x6 pack",1,108.11,3
"Savemor","SG - Wrigley's",23/07/2025,"IN-422472","P402","UNIVERSAL STATION ONE (PTY)LTD (3 D EFT)","PLOT14 PALMIETFONTEIN","POLOKWANE","","","PLOT 14 PALMIETFONTEIN","POLOKWANE","","","061 204 8841","AIR201","Wrigley Gum Airwave  Menth/Eucyl 30",1,295.20,3
"Savemor","SG - Wrigley's",23/07/2025,"IN-422472","P402","UNIVERSAL STATION ONE (PTY)LTD (3 D EFT)","PLOT14 PALMIETFONTEIN","POLOKWANE","","","PLOT 14 PALMIETFONTEIN","POLOKWANE","","","061 204 8841","AIR203","Wrigley Gum Airwave  Blackcurrent 30",1,295.20,3
"Savemor","SG - Wrigley's",23/07/2025,"IN-422472","P402","UNIVERSAL STATION ONE (PTY)LTD (3 D EFT)","PLOT14 PALMIETFONTEIN","POLOKWANE","","","PLOT 14 PALMIETFONTEIN","POLOKWANE","","","061 204 8841","AIR205","Wrigley Gum Airwave  Cherry Menthol 30",1,295.20,3
"Savemor","Sweets",23/07/2025,"IN-422472","P402","UNIVERSAL STATION ONE (PTY)LTD (3 D EFT)","PLOT14 PALMIETFONTEIN","POLOKWANE","","","PLOT 14 PALMIETFONTEIN","POLOKWANE","","","061 204 8841","B012862","Maynards Mini Jubes Disp 24x60G NEW",1,258.13,3
"Savemor","Sweets",23/07/2025,"IN-422472","P402","UNIVERSAL STATION ONE (PTY)LTD (3 D EFT)","PLOT14 PALMIETFONTEIN","POLOKWANE","","","PLOT 14 PALMIETFONTEIN","POLOKWANE","","","061 204 8841","B012863","Maynards Mini Teddies Disp. 24x60g NEW",1,258.13,3
"Savemor","Sweets",23/07/2025,"IN-422472","P402","UNIVERSAL STATION ONE (PTY)LTD (3 D EFT)","PLOT14 PALMIETFONTEIN","POLOKWANE","","","PLOT 14 PALMIETFONTEIN","POLOKWANE","","","061 204 8841","B012866","Maynards Mini Babies Disp. 24x60g NEW",1,258.13,3
"Savemor","Sweets",23/07/2025,"IN-422472","P402","UNIVERSAL STATION ONE (PTY)LTD (3 D EFT)","PLOT14 PALMIETFONTEIN","POLOKWANE","","","PLOT 14 PALMIETFONTEIN","POLOKWANE","","","061 204 8841","B012871","Maynards Orig W/Gums Disp 24x60G NEW",1,258.13,3
"Savemor","Sweets",23/07/2025,"IN-422472","P402","UNIVERSAL STATION ONE (PTY)LTD (3 D EFT)","PLOT14 PALMIETFONTEIN","POLOKWANE","","","PLOT 14 PALMIETFONTEIN","POLOKWANE","","","061 204 8841","B012873","Maynards Soft Fruity Gums 24x60g NEW",1,258.13,3
"Savemor","Sweets",23/07/2025,"IN-422472","P402","UNIVERSAL STATION ONE (PTY)LTD (3 D EFT)","PLOT14 PALMIETFONTEIN","POLOKWANE","","","PLOT 14 PALMIETFONTEIN","POLOKWANE","","","061 204 8841","B012878","Maynards Wine Gum Duo's 24x60G NEW",1,258.13,3
"Savemor","Sweets",23/07/2025,"IN-422472","P402","UNIVERSAL STATION ONE (PTY)LTD (3 D EFT)","PLOT14 PALMIETFONTEIN","POLOKWANE","","","PLOT 14 PALMIETFONTEIN","POLOKWANE","","","061 204 8841","B2151","Maynards Fruit Jelly Beans Disp. 24x60g",1,258.13,3
"Savemor","Diplomat",23/07/2025,"IN-422472","P402","UNIVERSAL STATION ONE (PTY)LTD (3 D EFT)","PLOT14 PALMIETFONTEIN","POLOKWANE","","","PLOT 14 PALMIETFONTEIN","POLOKWANE","","","061 204 8841","C607336","Halls Extra Strong 18",4,676.35,3
"Savemor","Diplomat",23/07/2025,"IN-422472","P402","UNIVERSAL STATION ONE (PTY)LTD (3 D EFT)","PLOT14 PALMIETFONTEIN","POLOKWANE","","","PLOT 14 PALMIETFONTEIN","POLOKWANE","","","061 204 8841","C672215","Stimorol Infinity Mint 1x12",1,202.61,3
"Savemor","Diplomat",23/07/2025,"IN-422472","P402","UNIVERSAL STATION ONE (PTY)LTD (3 D EFT)","PLOT14 PALMIETFONTEIN","POLOKWANE","","","PLOT 14 PALMIETFONTEIN","POLOKWANE","","","061 204 8841","C678176","Stimorol Infinity Trop 1x12",1,202.61,3
"Savemor","Diplomat",23/07/2025,"IN-422472","P402","UNIVERSAL STATION ONE (PTY)LTD (3 D EFT)","PLOT14 PALMIETFONTEIN","POLOKWANE","","","PLOT 14 PALMIETFONTEIN","POLOKWANE","","","061 204 8841","C680588","Stimorol Infinity Berry Party 1x12",1,202.61,3
"Savemor","Diplomat",23/07/2025,"IN-422472","P402","UNIVERSAL STATION ONE (PTY)LTD (3 D EFT)","PLOT14 PALMIETFONTEIN","POLOKWANE","","","PLOT 14 PALMIETFONTEIN","POLOKWANE","","","061 204 8841","C8004335","Halls Fruit Explosion 18",2,338.17,3
"Savemor","Sweets",23/07/2025,"IN-422472","P402","UNIVERSAL STATION ONE (PTY)LTD (3 D EFT)","PLOT14 PALMIETFONTEIN","POLOKWANE","","","PLOT 14 PALMIETFONTEIN","POLOKWANE","","","061 204 8841","LOL10033","Lolilu Wormees 24x125g",1,408.96,3
"Savemor","Sweets",23/07/2025,"IN-422472","P402","UNIVERSAL STATION ONE (PTY)LTD (3 D EFT)","PLOT14 PALMIETFONTEIN","POLOKWANE","","","PLOT 14 PALMIETFONTEIN","POLOKWANE","","","061 204 8841","LOL10118","Lolilu Dream Berries 24x125g",1,408.96,3
"Savemor","SG - Wrigley's",23/07/2025,"IN-422472","P402","UNIVERSAL STATION ONE (PTY)LTD (3 D EFT)","PLOT14 PALMIETFONTEIN","POLOKWANE","","","PLOT 14 PALMIETFONTEIN","POLOKWANE","","","061 204 8841","ORB172","Wrigley OTC Orbit Bubblemint 30",1,256.20,3
"Savemor","SG - Wrigley's",23/07/2025,"IN-422472","P402","UNIVERSAL STATION ONE (PTY)LTD (3 D EFT)","PLOT14 PALMIETFONTEIN","POLOKWANE","","","PLOT 14 PALMIETFONTEIN","POLOKWANE","","","061 204 8841","ORB173","Wrigley OTC Orbit Peppermint 30",1,256.20,3
"Savemor","Biltong",23/07/2025,"IN-422472","P402","UNIVERSAL STATION ONE (PTY)LTD (3 D EFT)","PLOT14 PALMIETFONTEIN","POLOKWANE","","","PLOT 14 PALMIETFONTEIN","POLOKWANE","","","061 204 8841","ZT500","TAKI Chopstix Trad Bag 100x7g",1,545.53,3
"ALL Other","Sweets",23/07/2025,"IN-422473","P3760","MORDERN PACKAGING POLOKWANE PTYLTD","P.O. BOX 3322","POLOKWANE","","","72 VERMICULITE STREET","LABORIA","POLOKWANE","","015 293 2812","B012871","Maynards Orig W/Gums Disp 24x60G NEW",1,258.13,2
"ALL Other","The Beverage Co",23/07/2025,"IN-422474","P516","VLEISLAPA S/HUIS BK GROBLER 7.5%(30DI)**","Groblerstraat","Polokwane","0699","","Groblerstraat","","Polokwane","0699","015 291 1301","P860501","Pepsi Cola 12x330ml",1,71,3
"ALL Other","Snack a Juice",23/07/2025,"IN-422474","P516","VLEISLAPA S/HUIS BK GROBLER 7.5%(30DI)**","Groblerstraat","Polokwane","0699","","Groblerstraat","","Polokwane","0699","015 291 1301","SJ200","Snack a Juice Assrt S/C 100% 24x500ml",2,691.84,3
"ALL Other","Snack a Juice",23/07/2025,"IN-422474","P516","VLEISLAPA S/HUIS BK GROBLER 7.5%(30DI)**","Groblerstraat","Polokwane","0699","","Groblerstraat","","Polokwane","0699","015 291 1301","SJ208","Snack a Juice Cranb S/C 100% 24x500ml",1,343.92,3
"Engen","Mageu",23/07/2025,"IN-422475","P3995","RISSIK STREET FILLING STATION(PTY)LTD","P.O.BOX 68432","HIGHVELD CENTURION","","","4B RISSIK STREET","POLOKWANE","","","012 345 2997","MA001","Mageu  Banana 10x500ml",1,103.36,3
"Engen","Mageu",23/07/2025,"IN-422475","P3995","RISSIK STREET FILLING STATION(PTY)LTD","P.O.BOX 68432","HIGHVELD CENTURION","","","4B RISSIK STREET","POLOKWANE","","","012 345 2997","MA013","Mageu  Mabele 10x1lt",1,148.23,3
"Engen","The Beverage Co",23/07/2025,"IN-422475","P3995","RISSIK STREET FILLING STATION(PTY)LTD","P.O.BOX 68432","HIGHVELD CENTURION","","","4B RISSIK STREET","POLOKWANE","","","012 345 2997","P861301","Pepsi Cola Pet 12x500ml",1,109,3
"Engen","Dairy Products",23/07/2025,"IN-422475","P3995","RISSIK STREET FILLING STATION(PTY)LTD","P.O.BOX 68432","HIGHVELD CENTURION","","","4B RISSIK STREET","POLOKWANE","","","012 345 2997","SQ201","SQ D/Thick 12x300ml Chocolate",1,134.78,3
"ALL Other","Waterberg",23/07/2025,"IN-422476","P605","PIETIE LIEFDE (14 DAYS EFT)","125 DORP STRAAT","POLOKWANE","","","PHS","125 DORP STRAAT","POLOKWANE","","066 277 9162","W130-PHS","Vuka  PHS  Still 24x500ml",11,1052.17,1
"Excel","Waterberg",23/07/2025,"IN-422477","P3182","DALMADA FILLING STATION (2%) (EXEL)(3D)","P.O. Box 489","Fauna Park","","0787","Plot 37","Dalmada","Polokwane","0700","015 263 6193/4","W006","W/B Still  1x10lt",20,582.61,3
"Shell","Energy Drinks",23/07/2025,"IN-422478","P2249","TABOO TRADING PTY LTD t/aTHE FARMYARD","FILLING STATION (14 D - I)","P.O Box  251","Ladanna,Polokwane","0704","1 School Road, Bendor","Next to Mall of the North","Polokwane","0699","015 296 1315","DRA002","Dragon Energy Drinks 24x500ml",3,600,3
"Shell","National Brands",23/07/2025,"IN-422478","P2249","TABOO TRADING PTY LTD t/aTHE FARMYARD","FILLING STATION (14 D - I)","P.O Box  251","Ladanna,Polokwane","0704","1 School Road, Bendor","Next to Mall of the North","Polokwane","0699","015 296 1315","NB10951","Bkrs Toppers Choc 12x125g",1,114.50,3
"Shell","National Brands",23/07/2025,"IN-422478","P2249","TABOO TRADING PTY LTD t/aTHE FARMYARD","FILLING STATION (14 D - I)","P.O Box  251","Ladanna,Polokwane","0704","1 School Road, Bendor","Next to Mall of the North","Polokwane","0699","015 296 1315","NB10969","Bkrs Toppers Choc/Mint 12x125g",2,229,3
"Shell","The Beverage Co",23/07/2025,"IN-422478","P2249","TABOO TRADING PTY LTD t/aTHE FARMYARD","FILLING STATION (14 D - I)","P.O Box  251","Ladanna,Polokwane","0704","1 School Road, Bendor","Next to Mall of the North","Polokwane","0699","015 296 1315","P5500107","Super C Can Apple 6x4x500ml",1,189,3
"Shell","The Beverage Co",23/07/2025,"IN-422478","P2249","TABOO TRADING PTY LTD t/aTHE FARMYARD","FILLING STATION (14 D - I)","P.O Box  251","Ladanna,Polokwane","0704","1 School Road, Bendor","Next to Mall of the North","Polokwane","0699","015 296 1315","P5500109","Super C Can Mixed Berry 6x4x500ml",1,189,3
"Shell","The Beverage Co",23/07/2025,"IN-422478","P2249","TABOO TRADING PTY LTD t/aTHE FARMYARD","FILLING STATION (14 D - I)","P.O Box  251","Ladanna,Polokwane","0704","1 School Road, Bendor","Next to Mall of the North","Polokwane","0699","015 296 1315","P660185","Super C Org Sparkling Glucose 6x4x500ml",1,173.91,3
"Shell","Aquelle",23/07/2025,"IN-422478","P2249","TABOO TRADING PTY LTD t/aTHE FARMYARD","FILLING STATION (14 D - I)","P.O Box  251","Ladanna,Polokwane","0704","1 School Road, Bendor","Next to Mall of the North","Polokwane","0699","015 296 1315","QU602","aQuelle Naartjie 6x500ml",2,84,3
"Shell","Aquelle",23/07/2025,"IN-422478","P2249","TABOO TRADING PTY LTD t/aTHE FARMYARD","FILLING STATION (14 D - I)","P.O Box  251","Ladanna,Polokwane","0704","1 School Road, Bendor","Next to Mall of the North","Polokwane","0699","015 296 1315","QU603","aQuelle Strawberry 6x500ml",2,84,3
"Shell","Aquelle",23/07/2025,"IN-422478","P2249","TABOO TRADING PTY LTD t/aTHE FARMYARD","FILLING STATION (14 D - I)","P.O Box  251","Ladanna,Polokwane","0704","1 School Road, Bendor","Next to Mall of the North","Polokwane","0699","015 296 1315","QU605","aQuelle Granadilla 6x500ml",2,84,3
"Shell","Aquelle",23/07/2025,"IN-422478","P2249","TABOO TRADING PTY LTD t/aTHE FARMYARD","FILLING STATION (14 D - I)","P.O Box  251","Ladanna,Polokwane","0704","1 School Road, Bendor","Next to Mall of the North","Polokwane","0699","015 296 1315","QU606","aQuelle Pineapple 6x500ml",2,84,3
"Shell","Aquelle",23/07/2025,"IN-422478","P2249","TABOO TRADING PTY LTD t/aTHE FARMYARD","FILLING STATION (14 D - I)","P.O Box  251","Ladanna,Polokwane","0704","1 School Road, Bendor","Next to Mall of the North","Polokwane","0699","015 296 1315","QU608","aQuelle Watermelon 6x500ml",2,84,3
"Shell","Aquelle",23/07/2025,"IN-422478","P2249","TABOO TRADING PTY LTD t/aTHE FARMYARD","FILLING STATION (14 D - I)","P.O Box  251","Ladanna,Polokwane","0704","1 School Road, Bendor","Next to Mall of the North","Polokwane","0699","015 296 1315","QU702","aQuelle Naartjie 6x1.5lt",1,79.80,3
"Shell","Aquelle",23/07/2025,"IN-422478","P2249","TABOO TRADING PTY LTD t/aTHE FARMYARD","FILLING STATION (14 D - I)","P.O Box  251","Ladanna,Polokwane","0704","1 School Road, Bendor","Next to Mall of the North","Polokwane","0699","015 296 1315","QU705","aQuelle Granadilla 6x1.5lt",1,79.80,3
